Original,Translated,English,Bracket
coriander powder ( dhania),coriander powder ( dhania),coriander powder, dhania
chilled water,chilled water,chilled water,
mixed fruits,mixed fruits,mixed fruits,
pinto beans,pinto beans,pinto beans,
दालचीनी,cinnamon,cinnamon,dalachini
falooda sev,falooda sev,falooda sev,
fish sauce,fish sauce,fish sauce,
chicken sausage,chicken sausage,chicken sausage,
mixed herbs (dried),mixed herbs (dried),mixed herbs,dried
bimbla (bilimbi),bimbla (bilimbi),bimbla,bilimbi
पिली मूंग दाल,pili moong dal,pili moong dal,pili mumga dala
black salt (kala namak),black salt (kala namak),black salt,kala namak
papads,papads,papads,
khichia (rajasthani papad),khichia (rajasthani papad),khichia,rajasthani papad
घी,ghee,ghee,ghi
bay leaf (roasted patta),bay leaf (roasted patta),bay leaf,roasted patta
cheetos,cheetos,cheetos,
lotus root,lotus root,lotus root,
kashmiri red chilli powder,kashmiri red chilli powder,kashmiri red chilli powder,
सोडा,soda,soda,soda
mixed sprouts,mixed sprouts,mixed sprouts,
green chillies,green chillies,green chillies,
king fish,king fish,king fish,
yellow bell pepper (capsicum),yellow bell pepper (capsicum),yellow bell pepper,capsicum
बैंगन,eggplant,eggplant,baimgana
थाइम के पत्ते,thyme leaves,thyme leaves,thaima ke patte
curry powder,curry powder,curry powder,
singoda flour (water chestnut),singoda flour (water chestnut),singoda flour,water chestnut
lasagna sheets,lasagna sheets,lasagna sheets,
ridge gourd (turai/ peerkangai),ridge gourd (turai/ peerkangai),ridge gourd,turai/ peerkangai
apple vodka,apple vodka,apple vodka,
canned pineapple (preserved & tinned),canned pineapple (preserved & tinned),canned pineapple,preserved & tinned
condensed milk,condensed milk,condensed milk,
oats flour,oats flour,oats flour,
dried raspberries,dried raspberries,dried raspberries,
sweet corn,sweet corn,sweet corn,
green moong dal,green moong dal,green moong dal,
sprouted moong,sprouted moong,sprouted moong,
garlic powder,garlic powder,garlic powder,
bagel,bagel,bagel,
red poha (flattened red rice),red poha (flattened red rice),red poha,flattened red rice
bread croutons,bread croutons,bread croutons,
spine gourd (kankoda),spine gourd (kankoda),spine gourd,kankoda
english mustard sauce,english mustard sauce,english mustard sauce,
herb butter,herb butter,herb butter,
bay leaf (tea patta),bay leaf (tea patta),bay leaf,tea patta
chicken legs,chicken legs,chicken legs,
aloo bhujia,aloo bhujia,aloo bhujia,
beetroot,beetroot,beetroot,
नूट्रलाइट क्लासिक स्प्रेड,nutrolite classic spread,nutrolite classic spread,nutralaita klasika spreda
green chilies,green chilies,green chilies,
poppy seeds,poppy seeds,poppy seeds,
चेरी टमाटर,cherry tomatoes,cherry tomatoes,cheri tamatara
dagdaful,dagdaful,dagdaful,
हरे प्याज,green onion,green onion,hare pyaja
स्प्राउट्स,sprouts,sprouts,sprautsa
काली उरद दाल (स्प्लिट),kali urad dal (split),kali urad dal,kali urada dala (splita)
chinese rice wine,chinese rice wine,chinese rice wine,
pistachio,pistachio,pistachio,
सरसो का तेल,mustard oil,mustard oil,saraso ka tela
बेकिंग सोडा,baking soda,baking soda,bekimga soda
tikka masala,tikka masala,tikka masala,
panch phoron masala,panch phoron masala,panch phoron masala,
rasna,rasna,rasna,
गलंगल,gallangal,gallangal,galamgala
raw rice,raw rice,raw rice,
कश्मीरी मसाला पाउडर,kashmiri masala powder,kashmiri masala powder,kashmiri masala paudara
ब्राउन राइस,brown rice,brown rice,brauna raisa
रोसमैरी,rosympari,rosympari,rosamairi
green cardamom,green cardamom,green cardamom,
black rice,black rice,black rice,
ladyfinger,ladyfinger,ladyfinger,
हरी फली,green bean,green bean,hari phali
raw jackfruit (kathal),raw jackfruit (kathal),raw jackfruit,kathal
ऑरेगानो,oregano,oregano,ऑregano
rice rava,rice rava,rice rava,
kesar milk masala,kesar milk masala,kesar milk masala,
rum,rum,rum,
baked beans,baked beans,baked beans,
idli dosa batter,idli dosa batter,idli dosa batter,
छोटे टमाटर,small tomatoes,small tomatoes,chote tamatara
cheddar cheese,cheddar cheese,cheddar cheese,
barbeque masala,barbeque masala,barbeque masala,
nutmeg powder,nutmeg powder,nutmeg powder,
saoji masala,saoji masala,saoji masala,
celery seeds,celery seeds,celery seeds,
kulith dal,kulith dal,kulith dal,
lettuce leaves,lettuce leaves,lettuce leaves,
pink food colour,pink food colour,pink food colour,
कद्दू,pumpkin,pumpkin,kaddu
yellow mustard seeds,yellow mustard seeds,yellow mustard seeds,
brinjal (baingan / eggplant),brinjal (baingan / eggplant),brinjal,baingan / eggplant
cucumber,cucumber,cucumber,
karela (bitter gourd/ pavakkai),karela (bitter gourd/ pavakkai),karela,bitter gourd/ pavakkai
dry kashmiri chili,dry kashmiri chili,dry kashmiri chili,
corn starch,corn starch,corn starch,
aamras,aamras,aamras,
feta cheese,feta cheese,feta cheese,
oreo biscuits,oreo biscuits,oreo biscuits,
garlic,garlic,garlic,
सुखी लाल मिर्च,dry red chili,dry red chili,sukhi lala mircha
tawa paratha,tawa paratha,tawa paratha,
vinegar,vinegar,vinegar,
chana jor garam,chana jor garam,chana jor garam,
udon noodles,udon noodles,udon noodles,
parsley leaves,parsley leaves,parsley leaves,
black currant (dried),black currant (dried),black currant,dried
cashew nuts,cashew nuts,cashew nuts,
sprouted ragi,sprouted ragi,sprouted ragi,
chicken breasts,chicken breasts,chicken breasts,
cauliflower leaves,cauliflower leaves,cauliflower leaves,
asafoetida,asafoetida,asafoetida,
teriyaki sauce,teriyaki sauce,teriyaki sauce,
golden harvest sona masuri rice,golden harvest sona masuri rice,golden harvest sona masuri rice,
खरबूजे के बीज,melon seeds,melon seeds,kharabuje ke bija
buckwheat flour (kuttu ka atta),buckwheat flour (kuttu ka atta),buckwheat flour,kuttu ka atta
espresso powder,espresso powder,espresso powder,
chicken thigh,chicken thigh,chicken thigh,
सूखा पुदीना,drought mint,drought mint,sukha pudina
rice vinegar,rice vinegar,rice vinegar,
tomato salsa,tomato salsa,tomato salsa,
button mushrooms,button mushrooms,button mushrooms,
turkey berry,turkey berry,turkey berry,
horse gram dal (kollu/ kulith),horse gram dal (kollu/ kulith),horse gram dal,kollu/ kulith
fenugreek,fenugreek,fenugreek,
kasuri methi,kasuri methi,kasuri methi,
thai sweet chilli sauce,thai sweet chilli sauce,thai sweet chilli sauce,
adobo sauce,adobo sauce,adobo sauce,
dried kashmiri chillies,dried kashmiri chillies,dried kashmiri chillies,
spring onion bulbs,spring onion bulbs,spring onion bulbs,
fox nuts,fox nuts,fox nuts,
maida (all purpose flour),maida (all purpose flour),maida,all purpose flour
chipotle chillies / peppers,chipotle chillies / peppers,chipotle chillies / peppers,
bathua leaves,bathua leaves,bathua leaves,
reserved water,reserved water,reserved water,
potato (aloo),potato (aloo),potato,aloo
banana leaf,banana leaf,banana leaf,
egg yolks,egg yolks,egg yolks,
fresh pomegranate fruit kernels,fresh pomegranate fruit kernels,fresh pomegranate fruit kernels,
rohu fish,rohu fish,rohu fish,
badi (vadi),badi (vadi),badi,vadi
lavender flowers,lavender flowers,lavender flowers,
रोसमेरी,rosmeri,rosmeri,rosameri
glazed cherries,glazed cherries,glazed cherries,
lima beans,lima beans,lima beans,
वीट ग्रास,vet grass,vet grass,vita grasa
brussel sprouts,brussel sprouts,brussel sprouts,
passion fruit,passion fruit,passion fruit,
